Cluster ID,Cluster Name,Cluster Size,Seed ID,Keyword,Market,Classified Intent,Intent Subtype,Role in Cluster,Primary Keyword Candidate,Recommended Page Type,Candidate Target URL,Page Opportunity Status,Cannibalization Risk,Cannibalization Control,Business Value,Proof Needed,SERP Validation,Cluster Status,Notes
CL-006,API Development,6,S-051,REST API development company,Global English,Commercial Investigation,Vendor selection,Vendor-language variation,API development company,Commercial service page,/services/api-development,Verify current route in site inventory,Low,Maintain one canonical page for this cluster and merge close wording variations into it.,High,"API and integration diagrams, security approach, platforms, and project examples",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-006,API Development,6,S-052,backend development services,Global English,Commercial Investigation,Service procurement,Service-language variation,API development company,Commercial service page,/services/api-development,Verify current route in site inventory,Low,Maintain one canonical page for this cluster and merge close wording variations into it.,High,"API and integration diagrams, security approach, platforms, and project examples",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-006,API Development,6,S-053,web service development company,Global English,Commercial Investigation,Vendor selection,Vendor-language variation,API development company,Commercial service page,/services/api-development,Verify current route in site inventory,Low,Maintain one canonical page for this cluster and merge close wording variations into it.,High,"API and integration diagrams, security approach, platforms, and project examples",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-007,System Integration,4,S-054,system integration company,Global English,Commercial Investigation,Vendor selection,Primary candidate,system integration company,Commercial service page,/services/system-integration,Verify current route in site inventory,Low,Maintain one canonical page for this cluster and merge close wording variations into it.,High,"API and integration diagrams, security approach, platforms, and project examples",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-007,System Integration,4,S-055,system integration services,Global English,Commercial Investigation,Service procurement,Service-language variation,system integration company,Commercial service page,/services/system-integration,Verify current route in site inventory,Low,Maintain one canonical page for this cluster and merge close wording variations into it.,High,"API and integration diagrams, security approach, platforms, and project examples",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-007,System Integration,4,S-056,enterprise application integration services,Global English,Commercial Investigation,Service procurement,Service-language variation,system integration company,Commercial service page,/services/system-integration,Verify current route in site inventory,Low,Maintain one canonical page for this cluster and merge close wording variations into it.,High,"API and integration diagrams, security approach, platforms, and project examples",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-007,System Integration,4,S-057,ERP integration services,Global English,Commercial Investigation,Service procurement,Service-language variation,system integration company,Commercial service page,/services/system-integration,Verify current route in site inventory,Low,Maintain one canonical page for this cluster and merge close wording variations into it.,High,"API and integration diagrams, security approach, platforms, and project examples",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-008,Hire Developers,7,S-058,hire developers,Global English,Transactional,Developer or engineering-team hiring,Primary candidate,hire developers,Hiring landing page,/hire-developers,Hub page; regional modifiers must not create unsupported location pages,High,"Compare overlapping hub, custom-software, hiring, staffing, augmentation, and dedicated-team pages before implementation.",High,"Vetting process, sample profiles, availability, time-zone coverage, IP, and rates",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-008,Hire Developers,7,S-059,hire dedicated developers,Global English,Transactional,Developer or engineering-team hiring,Supporting keyword,hire developers,Hiring landing page,/hire-developers,Hub page; regional modifiers must not create unsupported location pages,High,"Compare overlapping hub, custom-software, hiring, staffing, augmentation, and dedicated-team pages before implementation.",High,"Vetting process, sample profiles, availability, time-zone coverage, IP, and rates",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
CL-008,Hire Developers,7,S-060,hire software developers,Global English,Transactional,Developer or engineering-team hiring,Supporting keyword,hire developers,Hiring landing page,/hire-developers,Hub page; regional modifiers must not create unsupported location pages,High,"Compare overlapping hub, custom-software, hiring, staffing, augmentation, and dedicated-team pages before implementation.",High,"Vetting process, sample profiles, availability, time-zone coverage, IP, and rates",Required — validate the first 10 organic results in each priority country,Candidate cluster — metrics and SERP validation required,"Primary selection is based on semantic fit only, not verified search volume, CPC, KD, rankings, or conversions."
