url,page_type,primary_keyword,secondary_keywords,intent,journey_stage,country,cluster,cta,status,notes
"/services/cloud-migration","Service page","cloud migration services","cloud migration company; application cloud migration; AWS migration services","Commercial","Solution aware","Global English","K-12","Plan migration","Research Required","Needs platform, rollback, risk, and validation proof."
"/services/data-migration","Service page","data migration services","database migration services; cloud data migration; data cleansing and validation","Commercial","Solution aware","Global English","K-15","Discuss data migration","Research Required","Distinct from cloud migration; needs platform examples."
"/services/data-platform-engineering","Service page","data engineering services","data platform engineering services; data warehouse engineering; real-time data pipelines","Commercial","Solution aware","Global English","K-15","Discuss data platform","Research Required","High-priority data page; needs architecture and platform proof."
"/services/data-strategy-and-governance","Service page","data governance consulting","data strategy consulting; data quality governance; data management strategy","Commercial","Solution aware","Global English","K-15","Discuss data strategy","Research Required","Support data hub; needs governance framework approval."
"/services/dedicated-development-team","Service page","dedicated development team","dedicated software development team; hire dedicated developers; offshore dedicated development team","Commercial","Vendor shortlist","Global English; validate US UK Europe","K-17","Request dedicated team","Research Required","Differentiate from hire developers and staff augmentation."
"/services/devops","Service page","DevOps consulting services","DevOps consulting company; CI/CD consulting services; infrastructure automation","Commercial","Vendor shortlist","Global English","K-13","Discuss DevOps needs","Research Required","Needs toolchain, reliability, and proof metrics."
"/services/embedded-systems","Service page","embedded software development company","embedded systems development; firmware development services; RTOS development","Commercial","Vendor shortlist","Global English","K-21","Discuss embedded project","Research Required","Needs technical proof and industry use cases."
"/services/experience-design","Service page","experience design services","customer experience design; service design; UX research services","Commercial investigation","Solution aware","Global English","K-16","Discuss experience design","Research Required","Differentiate from UI/UX design."
"/services/forward-deployed-ai-engineering","Service page","forward deployed AI engineering","AI engineers for hire; embedded AI team; enterprise AI implementation","Commercial","Solution aware","Global English","K-10","Discuss AI team","Research Required","Demand and offer definition require validation."
"/services/iot-wearable-solutions","Service page","IoT development company","IoT development services; wearable app development company; IoT cloud platforms","Commercial","Vendor shortlist","Global English","K-21","Discuss IoT project","Research Required","Needs device, sensor, and platform proof."
"/services/it-staffing","Service page","IT staffing services","technical staffing services; software developer recruitment; IT recruitment services","Commercial","Decision","Global English; validate US UK","K-18","Request staffing support","Research Required","Clarify recruiting vs staff augmentation."
"/services/managed-engineering-team","Service page","managed software development team","managed engineering team; outsourced development team; SLA software team","Commercial","Vendor shortlist","Global English","K-20","Discuss managed team","Research Required","Needs SLA, reporting, and ownership model."
"/services/marketing-automation","Service page","marketing automation services","HubSpot development; CRM automation; lead management automation","Commercial","Solution aware","Global English","K-28","Discuss automation","Research Required","Needs platform specificity and proof."
"/services/mobile-app-development","Service page","mobile app development company","mobile app development services; cross platform app development; Flutter app development","Commercial","Vendor shortlist","Global English","K-05","Discuss mobile app","Business Approval Required","High-priority page; needs portfolio proof and launch process."
"/services/mvp-development","Service page","MVP development company","MVP development services; startup product development; SaaS MVP development","Commercial","Solution aware","Global English","K-03","Plan MVP","Research Required","Needs founder proof, scope, timeline, and pricing policy."
"/services/physical-ai","Service page","physical AI development","robotics AI development; edge AI development; AI for physical systems","Commercial investigation","Solution aware","Global English","K-10","Discuss physical AI","Research Required","Niche page; technical proof and safety language required."
"/services/plugin-development","Service page","plugin development services","browser extension development; WordPress plugin development; CRM plugin development","Commercial","Solution aware","Global English","K-06","Discuss plugin build","Research Required","Potential long-tail; platform focus needs validation."
"/services/product-management","Service page","product management consulting","product strategy consulting; technical product management; product roadmap services","Commercial investigation","Solution aware","Global English","K-03","Discuss product roadmap","Research Required","Clarify standalone consulting vs bundled delivery."
"/services/quality-engineering","Service page","QA testing services","QA automation services; software testing services; quality engineering services","Commercial","Vendor shortlist","Global English","K-14","Discuss QA needs","Research Required","Needs QA process, frameworks, and proof."
"/services/reporting-and-business-intelligence","Service page","business intelligence consulting services","BI reporting services; dashboard development; data analytics consulting","Commercial","Solution aware","Global English","K-15","Discuss BI project","Research Required","Supports data cluster; needs dashboard examples."
"/services/semiconductor-testing","Service page","semiconductor testing services","post silicon validation; DFT services; ATE engineering","Commercial","Vendor shortlist","Global English","K-21","Discuss semiconductor testing","Research Required","Needs facilities, tooling, and permissioned proof."
"/services/skill-development","Service page","software engineering training","technical skill development; agile coaching; AI adoption workshops","Commercial investigation","Problem aware","Global English; local if training is local","K-28","Discuss training","Research Required","Lower SEO priority unless owner confirms."
"/services/staff-augmentation","Service page","IT staff augmentation services","software staff augmentation company; remote developer staff augmentation","Commercial","Vendor shortlist","Global English; validate US UK Europe","K-18","Request augmented team","Research Required","Differentiate from dedicated team and team extension."
"/services/system-integration","Service page","system integration company","enterprise system integration; software integration services; workflow integration","Commercial","Vendor shortlist","Global English","K-07","Discuss integration","Research Required","Needs ERP, CRM, API, workflow examples."
"/services/team-extension","Service page","software development team extension","team extension services; extended development team; remote team extension","Commercial","Solution aware","Global English; validate Europe","K-19","Extend your team","Research Required","Differentiate from staff augmentation and dedicated team."
"/services/ui-ux-design","Service page","UI UX design services","UI UX design agency; product design services; design system services","Commercial","Solution aware","Global English","K-16","Discuss product design","Research Required","Needs portfolio visuals and research process."
"/services/web-application-development","Service page","web application development company","web app development services; custom web application development; enterprise web app development","Commercial","Vendor shortlist","Global English","K-04","Discuss web app","Business Approval Required","High-priority page; needs architecture proof and examples."
"/services/web-service-development","Service page","backend development services","web service development; backend API services; microservices development","Commercial","Solution aware","Global English","K-06","Discuss backend services","Research Required","Differentiate from API development."
"/privacy-notice","Legal utility","Softzino privacy notice","privacy policy Softzino","Navigational/legal","Decision","Global","Utility","Read privacy notice","Business Approval Required","Index/noindex policy must match legal guidance."
"/terms-and-conditions","Legal utility","Softzino terms and conditions","terms Softzino","Navigational/legal","Decision","Global","Utility","Read terms","Business Approval Required","Index/noindex policy must match legal guidance."
"/cookie-notice","Legal utility","Softzino cookie notice","cookie policy Softzino","Navigational/legal","Decision","Global","Utility","Read cookie notice","Business Approval Required","Index/noindex policy must match legal guidance."
"/imprint","Company/legal utility","Softzino offices","Softzino contact information; Softzino address","Navigational/trust","Decision","Global","Utility","Contact Softzino","Business Approval Required","Address and entity facts must be resolved before schema."
"/press-kit","Company/media utility","Softzino press kit","Softzino company overview; Softzino media information","Navigational/media","Vendor shortlist","Global","K-02","Request media info","Business Approval Required","Expand only if PR/media priority is approved."
